N/A,Reference #,Service,Status,Source,Category,N/A,District   ,Lat,Long,Date Time,Department,Q,Year,N/A,N/A,N/A,Agent   ,Customer,N/A
1105,170321-000120,Pothole,Closed,Web Console,,,3,37.3382915,-121.8857702,45:16.0,,Tier1,2017,1,3,12,Desiree Jafferies,James Marshal,1
1042,170320-000146,General Request,Closed,CX Console,County,,4,37.3914954,-121.8530968,01:25.0,,Tier1,2017,1,3,12,Kia O'Hara,Stanford Yanni,1
65,170207-000008,,Closed,Public API,,,,,,42:55.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
1094,170321-000089,,Closed,CX Console,,,,,,50:29.0,,Tier1,2017,1,3,12,Desiree Jafferies,Gordon Hannah,1
1047,170320-000154,,Closed,CX Console,,,,,,46:07.0,,Tier1,2017,1,3,12,Kia O'Hara,Stanford Yanni,1
70,170207-000013,,Closed,Public API,,,,,,52:16.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
258,170220-000000,,Closed,Public API,,,,37.3382,121.8863,24:53.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
37,170127-000002,,Closed,Public API,,,,,,39:10.0,,Tier1,2017,1,1,4,,Pramod Bojja,1
752,170313-000025,,Closed,CX Console,,,,,,17:50.0,,Tier1,2017,1,3,11,Chris Mills,Chris Mills,1
77,170207-000020,,Closed,Public API,,,,,,23:18.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
42,170201-000001,,Closed,Public API,,,,,,25:46.0,,Tier1,2017,1,2,5,,Pramod Bojja,1
10,170111-000000,Abandoned Vehicle,Closed,End-User pages,,,,,,35:00.0,PBCE,Tier1,2017,1,1,2,Swati Nadimpalli,Swati Nadimpalli,1
724,170310-000033,,Closed,CX Console,,,,,,07:25.0,,Tier1,2017,1,3,10,Chris Mills,Chris Mills,1
778,170314-000029,,Closed,End-User pages,Encampment,,3,37.3351874,-121.8810715,08:56.0,,Tier1,2017,1,3,11,Swati Nadimpalli,Pradeep Chandolu,1
730,170311-000036,Graffiti,Closed,End-User pages,Unpainted Wall,,6,37.3157584,-121.9273763,52:34.0,,Tier1,2017,1,3,10,Swati Nadimpalli,Pradeep Chandolu,1
1054,170320-000163,,Closed,CX Console,,,,,,12:53.0,,Tier1,2017,1,3,12,Kia O'Hara,Susan Duffy,1
64,170207-000007,,Closed,Public API,,,,,,42:43.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
1012,170320-000095,Abandoned Vehicle,Closed,CX Console,,,4,37.4313114,-121.9662508,00:56.0,,Tier1,2017,1,3,12,Kia O'Hara,Stanford Yanni,1
931,170317-000083,,Closed,CX Console,,,,,,57:00.0,,Tier1,2017,1,3,11,agent tier1,Siva Malyala,1
867,170316-000024,,Closed,CX Console,,,,,,21:00.0,,Tier1,2017,1,3,11,Prajakta Deep,Prajakta Portal,1
851,170316-000007,,Closed,CX Console,,,3,37.363947,-121.9289375,21:03.0,,Tier1,2017,1,3,11,pradeep test,test 1,1
87,170208-000007,,Closed,Public API,,,,,,57:00.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
69,170207-000012,,Closed,Public API,,,,,,51:25.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
36,170127-000001,,Closed,Public API,,,,,,57:16.0,,Tier1,2017,1,1,4,,Pramod Bojja,1
20,170112-000000,Streetlight Outage,Closed,CX Console,Traffic Light,,,18.544313,73.835829,39:58.0,Housing,Tier1,2017,1,1,2,Nishi Jahagirdar,Swati Nadimpalli,1
751,170313-000024,,Closed,CX Console,,,,,,17:02.0,,Tier1,2017,1,3,11,Chris Mills,Chris Mills,1
631,170302-000084,,Closed,Public API,,High,,,,39:32.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
76,170207-000019,,Closed,Public API,,,,,,20:24.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
41,170131-000005,,Closed,CX Console,,,,,,44:49.0,,Tier1,2017,1,1,5,swati test,Ryan_firstname Ryan_lastname,1
856,170316-000012,,Closed,CX Console,,,,,,31:23.0,,Tier1,2017,1,3,11,Prajakta Deep,Prajakta Portal,1
925,170317-000079,,Closed,CX Console,,,,,,36:17.0,,Tier1,2017,1,3,11,agent tier1,Siva Malyala,1
63,170207-000006,,Closed,Public API,,,,,,20:23.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
866,170316-000013,,Closed,CX Console,,,,,,18:13.0,,Tier1,2017,1,3,11,Prajakta Deep,Prajakta Portal,1
68,170207-000011,,Closed,Public API,,,,,,51:21.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
35,170127-000000,,Closed,Public API,,,,,,55:39.0,,Tier1,2017,1,1,4,,Pramod Bojja,1
734,170312-000005,,Closed,End-User pages,,,3,37.3351874,-121.8810715,47:40.0,,Tier1,2017,1,3,11,Swati Nadimpalli,Pradeep Chandolu,1
634,170302-000092,Pothole,Closed,Public API,,High,,,,06:10.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
1045,170320-000153,,Closed,CX Console,,,,,,36:56.0,,Tier1,2017,1,3,12,agent tier1,Stanford Yanni,1
755,170313-000030,Illegal Dumping,Closed,CX Console,,,6,37.3196628,-121.9481566,27:19.0,,Tier1,2017,1,3,11,Test Agenttier1,SV Vishnu,1
73,170207-000016,,Closed,Public API,,,,,,04:30.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
57,170206-000005,,Closed,Public API,,,,,,58:29.0,,Tier1,2017,1,2,6,,Pramod Bojja,1
40,170131-000004,,Closed,CX Console,,,,,,19:03.0,,Tier1,2017,1,1,5,Krishna Reddy,Swati Nadimpalli,1
924,170317-000073,General Request,In Progress,CX Console,City,,6,37.320371,-121.9483776,13:39.0,,Tier1,2017,1,3,11,agent tier1,sivatest01 m,1
271,170221-000004,Graffiti,In Progress,End-User pages,,,3,37.3382082,-121.8863286,33:49.0,,Tier1,2017,1,2,8,Swati Nadimpalli,Swati Nadimpalli,1
1010,170320-000087,Illegal Dumping,In Progress,CX Console,,,1,37.3135369,-121.989267,50:24.0,,Tier1,2017,1,3,12,Swati Ganesh,Christine Haddok,1
522,170228-000019,Graffiti,In Progress,CX Console,SideWalk,,,37.3382,121.8863,33:38.0,,Tier1,2017,1,2,9,Hemanth Kumar,Pramod Bojja,1
971,170320-000006,Streetlight Outage,In Progress,Web Console,Public Property,,,18.551626,73.8916427,40:56.0,,Tier1,2017,1,3,12,Prajakta Deep,Praj Test 1,1
737,170312-000022,Graffiti,In Progress,CX Console,,,,37.3382,121.8863,26:04.0,,Tier1,2017,1,3,11,Swati Nadimpalli,Pradeep Chandolu,1
801,170314-000118,Streetlight Outage,In Progress,CX Console,,,3,37.34002,-121.885793,12:08.0,,Tier1,2017,1,3,11,Colin Warren,Susan Duffy,1
874,170316-000034,Abandoned Vehicle,In Progress,CX Console,,,3,37.339056,-121.8838877,25:11.0,,Tier1,2017,1,3,11,agent tier1,Scott Smith,1
1084,170321-000074,Abandoned Vehicle,In Progress,CX Console,,,6,37.3236566,-121.9352371,45:39.0,,Tier1,2017,1,3,12,Desiree Jafferies,Gordon Hannah,1
827,170315-000056,Abandoned Vehicle,In Progress,End-User pages,,,6,37.3196628,-121.9481566,09:38.0,,Tier1,2017,1,3,11,,Swati Nadimpalli,1
698,170308-000009,,In Progress,CX Console,,,3,37.335187,-121.881072,54:00.0,,Tier1,2017,1,3,10,Nishi Jahagirdar,Pramod Bojja,1
975,170320-000010,Abandoned Vehicle,In Progress,Web Console,City,,3,37.3639472,-121.9289375,18:12.0,,Tier1,2017,1,3,12,Test Agenttier1,SV Vishnu,1
107,170213-000001,Abandoned Vehicle,In Progress,End-User pages,,,,33.8773715,-84.4782801,54:46.0,,Tier1,2017,1,2,7,,Tets3 Tets3,1
632,170302-000086,,In Progress,Public API,,High,,13.3794024,74.7404278,44:15.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
784,170314-000046,Illegal Dumping,In Progress,End-User pages,,,6,37.3382082,-121.8863286,29:46.0,,Tier1,2017,1,3,11,Swati Nadimpalli,Pradeep Chandolu,1
1132,170322-000050,Streetlight Outage,In Progress,CX Console,,,3,37.33514225,-121.8812795,54:31.0,,Tier1,2017,1,3,12,Hemanth Kumar,Test Contact,1
546,170301-000032,Graffiti,In Progress,CX Console,Utility Box,High,,37.3382,121.8863,18:25.0,,Tier1,2017,1,3,9,Hemanth Kumar,Pramod Bojja,1
284,170222-000001,Graffiti,In Progress,End-User pages,,,6,37.3196628,-121.9481566,37:33.0,,Tier1,2017,1,2,8,Swati Nadimpalli,Swati Nadimpalli,1
702,170308-000013,Abandoned Vehicle,In Progress,End-User pages,,,3,37.329008,-121.8887936,36:46.0,,Tier1,2017,1,3,10,,Susan Duffy,1
46,170203-000000,,In Progress,Public API,,,,,,08:34.0,,Tier1,2017,1,2,5,,test test,1
809,170315-000014,Illegal Dumping,In Progress,Web Console,Street/Roadside,,,37.3382,121.8863,00:21.0,,Tier1,2017,1,3,11,Prajakta Deep,Praj Mar 15 Test,1
850,170316-000006,,In Progress,CX Console,,,3,37.11111111,-122,01:22.0,,Tier1,2017,1,3,11,pradeep test,test 1,1
1108,170321-000124,Graffiti,In Progress,Web Console,Public Property,,3,37.3382803,-121.8857325,51:19.0,,Tier1,2017,1,3,12,Chris Mills,Paolo Cervantes,1
1011,170320-000089,Pothole,In Progress,CX Console,,,,,,59:21.0,,Tier1,2017,1,3,12,agent tier1,Gretchen Keegan,1
624,170302-000074,Streetlight Outage,Open,Public API,,High,,,121.8863,16:56.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
608,170302-000058,Streetlight Outage,Open,Public API,,High,,,,01:54.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
592,170302-000042,Graffiti,Open,Public API,Painted Wall,High,,13.3794021,13.3794021,34:25.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
576,170302-000024,Pothole,Open,End-User pages,,High,,37.36883,-122.0363496,47:01.0,,Tier1,2017,1,3,9,,Shubhangi Ghule,1
560,170302-000008,Graffiti,Open,Public API,,High,,13.3794021,13.3794021,05:41.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
1135,170322-000054,Abandoned Vehicle,Open,End-User pages,,,,,,13:20.0,,Tier1,2017,1,3,12,,Prajakta Portal,1
544,170301-000030,Graffiti,Open,CX Console,Park Restroom Building,High,,37.3382,121.8863,15:28.0,,Tier1,2017,1,3,9,Hemanth Kumar,Nishi J,1
1119,170322-000012,,Open,End-User pages,,,,,,04:52.0,,Tier1,2017,1,3,12,,Prajakta Portal,1
528,170228-000031,,Open,CX Console,,,,37.3382,121.8863,28:52.0,,Tier1,2017,1,2,9,Swati Nadimpalli,Swati Nadimpalli,1
1102,170321-000116,Abandoned Vehicle,Open,Web Console,Public Property,,3,37.3385435,-121.8851526,36:32.0,,Tier1,2017,1,3,12,Desiree Jafferies,James Marshal,1
512,170228-000003,,Open,Public API,,,,,,45:16.0,,Tier2,2017,1,2,9,,chaithra moolya,1
1086,170321-000073,Abandoned Vehicle,Open,CX Console,,,3,37.3369635,-121.8881051,55:43.0,,Tier1,2017,1,3,12,agent tier1,Stacey Huntley,1
496,170227-000039,,Open,Public API,,,,13.34533275,74.74386033,12:59.0,,Tier2,2017,1,2,9,,chaithra moolya,1
1070,170321-000026,Abandoned Vehicle,Open,CX Console,,,3,37.3639472,-121.9289375,36:07.0,,Tier1,2017,1,3,12,pradeep test,Pradeep Chandolu,1
480,170227-000012,,Open,CX Console,,,3,37.33652099,-121.8943405,42:26.0,,Tier1,2017,1,2,9,pradeep chandolu,Pradeep Chandolu,1
1039,170320-000141,Streetlight Outage,Open,CX Console,,,,37.3195396,-122.0450548,50:25.0,,Tier1,2017,1,3,12,Terry Choy,Myles Schreck,1
464,170226-000001,Abandoned Vehicle,Open,End-User pages,,,,17.4979732,78.388956,22:06.0,,Tier1,2017,1,2,9,,Anonymous User,1
1023,170320-000127,Illegal Dumping,Open,CX Console,,,1,37.303269,-122.006919,13:17.0,,Tier1,2017,1,3,12,Jennifer Pettigrew,Magaly Bridgeman,1
448,170224-000052,,Open,Public API,,,,13.3794024,74.7404278,42:38.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
1005,170320-000073,Abandoned Vehicle,Open,End-User pages,,,,17.385044,78.486671,30:52.0,,Tier1,2017,1,3,12,,Swati Nadimpalli,1
432,170224-000036,,Open,Public API,,,,13.3794024,74.7404278,50:09.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
988,170320-000049,Abandoned Vehicle,Open,Public API,,,,37.31000582,-121.8982203,23:12.0,,,2017,1,3,12,,Mahesh Kumar G Kumar G,1
972,170320-000007,General Request,Open,Public API,,,,37.22954649,-121.8967485,41:01.0,,Tier1,2017,1,3,12,,Mahesh Kumar G Kumar G,1
956,170319-000032,Illegal Dumping,Open,CX Console,,,,,,32:03.0,,Tier1,2017,1,3,12,Nishi Jahagirdar,demo_first demo_last,1
940,170318-000021,Graffiti,Open,CX Console,Painted Wall,,3,37.339056,-121.8838877,05:22.0,,Tier1,2017,1,3,11,agent tier1,Jim Dickson,1
908,170317-000027,Graffiti,Open,Public API,Painted Wall,,,37.20734075,-121.599781,12:07.0,,Tier2,2017,1,3,11,,Anonymous User,1
892,170316-000054,General Request,Open,Public API,,,,37.2376349,-121.8071543,46:23.0,,Tier1,2017,1,3,11,,Anonymous User,1
876,170316-000037,Abandoned Vehicle,Open,End-User pages,,,3,37.3327303,-121.9012363,44:53.0,,Tier1,2017,1,3,11,,,1
860,170316-000017,Pothole,Open,Public API,,,,37.2376349,-121.8071543,18:36.0,,Tier2,2017,1,3,11,,Fatima Mashooda,1
844,170315-000081,Pothole,Open,End-User pages,,,3,37.3639472,-121.9289375,49:01.0,,Tier1,2017,1,3,11,,Prajakta Portal,1
426,170224-000030,,Open,Public API,,,,,,06:18.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
216,170216-000003,,Open,Public API,,,,13.3793,74.74041,33:33.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
410,170224-000014,,Open,Public API,,,,13.3794021,13.3794021,13:33.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
200,170215-000043,,Open,Public API,,,,13.43871379,74.69800025,13:42.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
394,170223-000081,,Open,Public API,,,,,,38:04.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
184,170215-000027,,Open,Public API,,,,12.12345679,12.54,57:03.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
378,170223-000065,,Open,Public API,,,,13.3794024,74.7404278,09:29.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
168,170215-000011,,Open,Public API,,,,12.2365,12.54,41:00.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
362,170223-000049,,Open,Public API,,,,37.3382,121.8863,47:24.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
152,170214-000041,,Open,Public API,,,,37.3382,121.8863,22:13.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
346,170223-000033,,Open,Public API,,,,22.45698701,12.12345679,55:30.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
136,170214-000025,,Open,Public API,,,district name,37.3382,121.8863,11:33.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
330,170223-000016,,Open,Public API,,,,37.3382,121.8863,57:25.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
120,170214-000008,,Open,Public API,,,,37.3382,121.8863,54:56.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
314,170223-000000,,Open,Public API,,,,,,46:09.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
100,170209-000003,Pothole,Open,CX Console,,,,37.3382,121.8863,19:43.0,,Tier1,2017,1,2,6,Nishi Jahagirdar,nishi test,1
298,170222-000015,Graffiti,Open,End-User pages,,,3,37.3639472,-121.9289375,32:08.0,,Tier1,2017,1,2,8,,Anonymous User,1
80,170208-000000,General Request,Open,End-User pages,,,,16.3066525,80.4365402,08:57.0,,Tier1,2017,1,2,6,,test test,1
282,170221-000015,,Open,Public API,,,,37.3382,121.8863,19:24.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
266,170220-000008,,Open,CX Console,,,,37.3382,121.8863,04:12.0,,Tier1,2017,1,2,8,Pramod Bojja,Pramod Bojja,1
45,170202-000001,Streetlight Outage,Open,Public API,Street Light,,,,,05:14.0,,Tier2,2017,1,2,5,,Swati Nadimpalli,1
250,170217-000002,Graffiti,Open,End-User pages,Painted Wall,,district name,37.3382,121.8863,50:05.0,,Tier1,2017,1,2,7,,Anonymous User,1
29,170124-000007,,Open,End-User pages,,,,37.3382082,-121.8863286,30:48.0,,Tier1,2017,1,1,4,,Swati Nadimpalli,1
234,170216-000021,Abandoned Vehicle,Open,End-User pages,,,3,37.3382082,-121.8863286,43:04.0,,Tier1,2017,1,2,7,,Anonymous User,1
13,170111-000003,Streetlight Outage,Open,Public API,Traffic Light,High,district name,38.754,121.886,39:26.0,Public Works,Tier2,2017,1,1,2,Nishi Jahagirdar,Pramod Bojja,1
840,170315-000077,Abandoned Vehicle,Open,End-User pages,,,,29.7494544,-95.4819688,31:21.0,,Tier1,2017,1,3,11,,Prajakta Portal,1
824,170315-000048,Abandoned Vehicle,Open,End-User pages,,,3,37.3327303,-121.9012363,20:02.0,,Tier1,2017,1,3,11,,Swati Nadimpalli,1
808,170315-000010,Pothole,Open,Web Console,,,,37.3382,121.8863,33:46.0,,Tier1,2017,1,3,11,Prajakta Deep,Praj Test 1,1
776,170314-000027,Graffiti,Open,Public API,Painted Wall,,,37.3382,121.8863,58:54.0,,Tier2,2017,1,3,11,,Nishi test8,1
760,170313-000059,,Open,Public API,,,,22.45698701,12.12345679,34:46.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
744,170313-000000,Abandoned Vehicle,Open,Public API,,,,12.12345679,12.12345679,32:21.0,,Tier2,2017,1,3,11,,Mahesh Kumar G Kumar G,1
727,170310-000038,Graffiti,Open,CX Console,Tree,,3,37.33943251,-121.8684196,21:26.0,,Tier1,2017,1,3,10,Nishi Jahagirdar,Nishi demo J,1
711,170309-000008,,Open,CX Console,RV/Car,,,37.3382,121.8863,15:08.0,,Tier1,2017,1,3,10,Hemanth Kumar,Nishi J,1
695,170308-000005,,Open,End-User pages,RV/Car,,3,37.3327303,-121.9012363,36:59.0,,Tier1,2017,1,3,10,,Swati Nadimpalli,1
676,170305-000006,Graffiti,Open,End-User pages,SideWalk,,3,37.3639472,-121.9289375,05:41.0,,Tier1,2017,1,3,10,,Swati Nadimpalli,1
660,170303-000019,Abandoned Vehicle,Open,Public API,,,,13.3794024,74.7404278,33:43.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
644,170302-000122,,Open,Public API,RV/Car,High,,,,25:49.0,,Tier2,2017,1,3,9,,Mahesh Kumar G Kumar G,1
221,170216-000008,,Open,Public API,,,,,,29:08.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
415,170224-000019,,Open,Public API,,,,,,23:01.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
205,170215-000048,,Open,Public API,,,,13.3793147,74.7404278,30:04.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
399,170224-000003,,Open,Public API,,,,,,27:29.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
189,170215-000032,,Open,Public API,,,,12.12345679,12.54,02:40.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
383,170223-000070,,Open,Public API,,,,,,12:56.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
173,170215-000016,,Open,Public API,,,,12.2365,12.54,42:44.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
367,170223-000054,,Open,Public API,,,,12.12345679,12.12345679,01:35.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
157,170215-000000,,Open,Public API,,,,37.3382,121.8863,01:47.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
351,170223-000038,,Open,Public API,,,,12.12345679,12.12345679,01:43.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
141,170214-000030,,Open,Public API,,,,37.3382,121.8863,43:35.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
335,170223-000021,,Open,Public API,,,,37.3382,121.8863,59:35.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
125,170214-000013,,Open,Public API,,,,37.3382,121.8863,09:03.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
319,170223-000005,Abandoned Vehicle,Open,End-User pages,,,3,37.3382082,-121.8863286,30:30.0,,Tier1,2017,1,2,8,,Pradeep Chandolu,1
109,170213-000003,,Open,Public API,,,district name,37.3382,121.8863,59:40.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
303,170222-000020,Illegal Dumping,Open,End-User pages,,,3,37.3351874,-121.8810715,47:28.0,,Tier1,2017,1,2,8,,Swati Nadimpalli,1
85,170208-000005,Illegal Dumping,Open,End-User pages,,,,18.52331794,73.85576248,07:58.0,,Tier1,2017,1,2,6,,test test,1
287,170222-000004,Graffiti,Open,End-User pages,,,3,37.3327303,-121.9012363,57:47.0,,Tier1,2017,1,2,8,,Anonymous User,1
50,170203-000004,,Open,Public API,,,,,,16:45.0,,Tier1,2017,1,2,5,,test test,1
255,170219-000001,,Open,Public API,,,district name,37.3382,121.8863,22:52.0,,Tier2,2017,1,2,8,,Swati Nadimpalli,1
34,170126-000000,,Open,Public API,,,,,,17:08.0,,Tier2,2017,1,1,4,,Swati Nadimpalli,1
239,170216-000026,,Open,Public API,,,,12.12345679,12.54,58:29.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
18,170111-000008,General Request,Open,End-User pages,City,,,,,43:32.0,Library,Tier1,2017,1,1,2,agent tier1,Swati Nadimpalli,1
223,170216-000010,,Open,Public API,,,,,,31:10.0,,Tier2,2017,1,2,7,,Swati Nadimpalli,1
829,170315-000059,Abandoned Vehicle,Open,Web Console,,,,37.3382,121.8863,07:26.0,,Tier1,2017,1,3,11,agent tier1,Gretchen Keegan,1
813,170315-000019,Abandoned Vehicle,Open,Public API,,,,37.2376349,-121.8071543,10:14.0,,Tier2,2017,1,3,11,,Anonymous User,1
797,170314-000103,Abandoned Vehicle,Open,Web Console,,,,37.3382,121.8863,58:56.0,,Tier1,2017,1,3,11,pradeep test,test 1,1
